ACT,SAT,AVERAGE_DEBT,REGION,,,,,,,,
20,910,28500,5,,,,,,,,
25,1191,21451.5,5,,,,,,,,
30,1328,16149,5,,,,,,,,
24,1079,23187,5,,,,,,,,
22,1043,22864,5,,,,,,,,
19,886,31000,5,,,,,,,,
22,1116,26922.5,5,,,,,,,,
28,1253,20500,5,,,,,,,,
24,1145,20584,5,,,,,,,,
18,890,23500,5,,,,,,,,
20,930,21000,5,,,,,,,,
20,948,24000,5,,,,,,,,
19,937,20427,5,,,,,,,,
22,1051,26000,5,,,,,,,,
15,740,35198,5,,,,,,,,
23,1102,25000,5,,,,,,,,
23,1134,23250,5,,,,,,,,
18,859,27000,5,,,,,,,,
22,1035,21810,5,,,,,,,,
21,957,19500,4,,,,,,,,
27,1178,27000,4,,,,,,,,
22,1050,22722,4,,,,,,,,
22,1035,18951,4,,,,,,,,
24,1090,24000,4,,,,,,,,
25,1092,24000,4,,,,,,,,
20,946,27592,4,,,,,,,,
21,1020,21550,4,,,,,,,,
22,1050,26000,3,,,,,,,,
19,961,27000,3,,,,,,,,
22,1048,27000,3,,,,,,,,
22,1085,19000,3,,,,,,,,
22,1029,27000,3,,,,,,,,
21,1012,26000,3,,,,,,,,
24,1100,27000,3,,,,,,,,
32,1375,24250,3,,,,,,,,
26,1187,24994,3,,,,,,,,
16,804,39793,3,,,,,,,,
20,947,20000,3,,,,,,,,
21,969,26350,3,,,,,,,,
26,1165,23100,3,,,,,,,,
20,930,26736,3,,,,,,,,
21,1048,29000,3,,,,,,,,
21,1014,22656,3,,,,,,,,
21,1044,27000,3,,,,,,,,
27,1194,26000,3,,,,,,,,
21,975,27000,3,,,,,,,,
23,1035,23734,3,,,,,,,,
19,910,23750,3,,,,,,,,
22,1027,29000,3,,,,,,,,
21,1004,27000,3,,,,,,,,
24,1116,27000,3,,,,,,,,
23,1050,25997,3,,,,,,,,
28,1332,19000,3,,,,,,,,
20,966,27000,3,,,,,,,,
20,950,30500,3,,,,,,,,
23,1045,25000,3,,,,,,,,
24,1105,27000,3,,,,,,,,
27,1240,25000,3,,,,,,,,
22,1030,19000,3,,,,,,,,
23,1057,27000,3,,,,,,,,
22,1046,26769,3,,,,,,,,
21,1005,28000,3,,,,,,,,
22,1009,27000,3,,,,,,,,
20,937,27000,3,,,,,,,,
30,1349,26000,3,,,,,,,,
22,1005,28713,3,,,,,,,,
27,1180,27000,3,,,,,,,,
29,1292,21959.5,3,,,,,,,,
23,1106,21250,3,,,,,,,,
23,1094,27000,3,,,,,,,,
24,1183,23316.5,3,,,,,,,,
22,1031,24000,3,,,,,,,,
21,1014,28000,3,,,,,,,,
22,1043,28000,3,,,,,,,,
16,735,18786,3,,,,,,,,
21,970,27058,3,,,,,,,,
27,1229,26000,3,,,,,,,,
25,1113,27000,3,,,,,,,,
21,985,27000,3,,,,,,,,
17,845,26350,6,,,,,,,,
21,999,21276.5,6,,,,,,,,
22,990,21325,6,,,,,,,,
22,1005,18010,6,,,,,,,,
21,1009,17750,6,,,,,,,,
19,930,14290,6,,,,,,,,
25,1127,24500,6,,,,,,,,
19,910,18187,6,,,,,,,,
24,1137,20083.5,6,,,,,,,,
25,1171,26000,6,,,,,,,,
25,1165,23835,6,,,,,,,,
26,1189,19500,6,,,,,,,,
21,1010,27000,6,,,,,,,,
17,850,16000,6,,,,,,,,
21,1039,22274,6,,,,,,,,
19,970,15864,6,,,,,,,,
20,981,25000,6,,,,,,,,
21,1010,16675,6,,,,,,,,
28,1296,26000,6,,,,,,,,
21,1037,25000,8,,,,,,,,
20,948,22466,8,,,,,,,,
23,1081,22000,8,,,,,,,,
23,1083,25000,8,,,,,,,,
21,987,23750,8,,,,,,,,
24,1044,25322.5,8,,,,,,,,
25,1112,23000,8,,,,,,,,
24,1116,21500,8,,,,,,,,
26,1195,24906,8,,,,,,,,
30,1383,16000,8,,,,,,,,
22,1029,23334,8,,,,,,,,
22,1016,25000,8,,,,,,,,
27,1209,23500,8,,,,,,,,
20,1001,24500,8,,,,,,,,
22,900,22294.5,2,,,,,,,,
26,1170,29046,2,,,,,,,,
23,1033,26500,2,,,,,,,,
20,1004,17772,2,,,,,,,,
24,1105,26972,2,,,,,,,,
28,1313,25000,2,,,,,,,,
30,1317,27000,2,,,,,,,,
19,934,25000,2,,,,,,,,
19,941,27000,2,,,,,,,,
33,1436,25250,2,,,,,,,,
21,1005,29183,2,,,,,,,,
20,928,26000,2,,,,,,,,
21,990,26551,2,,,,,,,,
27,1186,25500,2,,,,,,,,
25,1144,27000,2,,,,,,,,
20,954,24250,2,,,,,,,,
22,1038,25872,2,,,,,,,,
19,928,27000,2,,,,,,,,
25,1133,27000,2,,,,,,,,
22,1037,27000,2,,,,,,,,
22,1072,26000,2,,,,,,,,
31,1422,14000,2,,,,,,,,
20,925,27000,2,,,,,,,,
19,921,25789.5,2,,,,,,,,
20,960,26000,2,,,,,,,,
20,926,25000,2,,,,,,,,
29,1300,25185,2,,,,,,,,
21,996,18750,2,,,,,,,,
18,862,31326.5,2,,,,,,,,
